idx,src,t0,dur,event,emotion,text
225,src_23,9.50,7.22,BGM,HAPPY,🎼就侠手。😊
226,src_23,20.02,1.14,Speech,ANGRY,嗖一下飞过去了。😡
227,src_23,23.12,7.70,Speech,HAPPY,接就姐熊熊熊。😊
228,src_23,33.72,0.94,Speech,-,啊。
229,src_23,36.70,3.14,Speech,ANGRY,小，没事没事，我先走了。咿呀。😡
230,src_23,41.06,4.82,BGM,ANGRY,🎼，你想跑，受死吧，你好。😡
231,src_23,46.34,2.48,Speech,-,嗯，啊。
232,src_23,54.24,1.78,Speech,SURPRISED,他的受洗了耶。😮
233,src_24,0.04,4.12,Speech,ANGRY,我玩了两劫，这次轮到我的规则了吧，那你说。😡
234,src_24,4.36,1.38,Speech,ANGRY,这次我们比速度。😡
235,src_24,5.80,1.02,Speech,ANGRY,开始学豆角。😡
236,src_24,7.98,7.82,Speech,ANGRY,宝贝快说大装什面我要要啊，我也要一个这样的针。😡
237,src_24,17.02,5.42,Speech,HAPPY,谁死了，我出来了，不色龙了，我出来了。😊
238,src_25,0.94,2.36,Speech,ANGRY,小气到底是什么呀？😡
239,src_25,3.44,2.66,Speech,ANGRY,我送你的新年礼物，你一定会喜欢。😡
240,src_25,6.24,0.94,Speech,HAPPY,咦。😊
241,src_25,7.56,1.16,Speech,-,哇。
242,src_25,12.10,1.14,Speech,ANGRY,这是声控灯泡。😡
243,src_25,13.32,1.24,Speech,ANGRY,叫一声就会亮哦。😡
244,src_25,14.68,1.76,Speech,-,啊。
245,src_25,22.06,1.02,Speech,-,哇。
246,src_25,23.12,3.96,Speech,HAPPY,这个氛围都好有 feel哦，小气。😊
247,src_25,27.14,2.56,Speech,ANGRY,我也有个新年礼物送给你哦。😡
248,src_25,29.76,5.24,Speech,SURPRISED,我没想到你会坐我车，坐个车那么好，也太贵重了诶。😮
249,src_25,36.00,1.18,Speech,ANGRY,上汽大众，2月底前。😡
250,src_25,37.28,3.76,Speech,ANGRY,全车器都有至高减免50%购置税，日常使用油耗低。😡
251,src_25,41.04,1.28,Speech,ANGRY,省这一外真的值。😡
252,src_25,43.86,2.10,Speech,ANGRY,你们怎么在我车上？😡
253,src_25,50.02,1.56,Speech,ANGRY,这不是你送我的礼物吗？😡
254,src_25,52.84,1.56,Speech,SAD,我说你打火机。😔
255,src_25,54.50,1.90,Speech,SAD,想要点亮你的心。😔
256,src_25,56.44,2.69,Laughter,-,😀嗯。
257,src_26,0.24,2.84,Speech,ANGRY,星星点灯照亮我的。😡
258,src_26,4.08,2.80,Speech,-,我要。
259,src_26,9.20,1.54,Speech,-,脆弱的人类。
260,src_26,12.06,2.80,Speech,ANGRY,欺人太煞接招。😡
261,src_26,15.54,1.40,Speech,ANGRY,小雷龙喷火。😡
262,src_26,16.94,1.04,Speech,-,嗯。
263,src_26,19.56,4.09,Speech,ANGRY,你们去了吗？出再多放点自首。😡
264,src_27,0.26,1.98,Speech,ANGRY,我感觉尾巴有点疼。😡
265,src_27,3.14,5.00,Speech,ANGRY,这是七步蛇，被摇做七步就会没命的。啊，我刚刚找了几个雷渣。😡
266,src_27,8.16,2.52,Speech,ANGRY,总之不要再走了，这的会没命的。😡
267,src_27,11.16,4.26,Speech,SURPRISED,我有办法，那我没主题步，不咬一口就好了。😮
268,src_27,16.58,4.70,Speech,HAPPY,O。😊
269,src_27,21.34,4.12,Speech,HAPPY,大家吃好喝好，接着都愿接着我。😊
270,src_28,0.30,7.60,BGM,HAPPY,🎼准备好了，开始了，在小小的花园里，怎么会有有吃错饭。😊
271,src_28,9.76,7.08,BGM,HAPPY,🎼看我花芽花种小小的种子，开小小的屋。😊
272,src_28,17.62,2.18,Speech,-,肉酷。
273,src_28,21.56,1.00,Speech,-,很壮很热。
274,src_28,25.18,4.08,Speech,ANGRY,你做的饭呃呃，糟糕忘记做饭了。😡
275,src_28,30.24,2.46,Speech,HAPPY,二楼洗手吃饭啦。😊
276,src_28,33.08,1.38,Speech,-,哇哇。
277,src_28,35.06,7.38,BGM,HAPPY,🎼手。😊
278,src_28,42.72,2.46,Speech,HAPPY,妈妈节快乐。😊
279,src_28,45.34,1.48,Speech,ANGRY,送你个盘子。😡
280,src_28,46.82,1.12,Speech,-,永远爱你。
281,src_28,49.02,1.00,Speech,HAPPY,谢谢你们。😊
282,src_28,50.16,3.84,Speech,HAPPY,妈妈也永远爱你们好，都给妈妈留言。😊
283,src_28,54.04,1.14,Speech,-,啊看。
284,src_28,56.38,2.50,Laughter,HAPPY,😀。😊
285,src_29,1.18,5.54,BGM,HAPPY,🎼你叫啊，你小破喉咙也没有人来救你了。😊
286,src_29,6.72,1.80,Speech,-,好了好了呃。
287,src_29,10.82,1.24,Speech,ANGRY,放开那个宝宝。😡
288,src_29,12.08,1.30,Speech,ANGRY,够我的丢。😡
289,src_29,13.78,4.36,Speech,ANGRY,敢跳你吗？还是我们来救你哼。😡
290,src_29,18.56,1.56,Speech,ANGRY,你们给我等着。😡
291,src_29,20.18,1.56,Speech,-,包 you7!
292,src_29,24.86,1.02,Speech,-,好。
293,src_29,26.52,9.96,Speech,HAPPY,搞死他们，蓝控要黑屏。😊
294,src_29,38.94,1.18,Speech,-,你哈。
295,src_29,40.94,1.02,Speech,ANGRY,我们送你。😡
296,src_29,42.52,1.96,Speech,SAD,那我不好意思呀。😔
297,src_29,44.60,3.26,Speech,ANGRY,我们是说送你去猎嘿。😡
298,src_29,48.76,1.14,Speech,ANGRY,增强肌肤抵抗力。😡
299,src_29,49.92,1.48,Speech,ANGRY,修护也要逼分两路。😡
300,src_29,51.46,2.04,Speech,ANGRY,小天的皮肤摇还小姑。😡
301,src_30,0.16,24.94,Laughter,ANGRY,😀我正在海里洗澡呢，那龙光三太子上来就一拳一拳，呀，这打一条龙你扎小孩，我爹都不打我，我也我也不让着他呀，我就扎他一下，他又打我一拳，我再扎他一下，结果我们两们两人就。😡
302,src_30,25.10,2.96,Laughter,HAPPY,😀哎呦，我的妈。😊
303,src_31,3.16,1.22,Speech,NEUTRAL,江南可采莲。
304,src_31,5.10,1.38,Speech,NEUTRAL,莲叶和甜甜。
305,src_31,17.66,1.72,Speech,NEUTRAL,江南又到了可以采莲的时候。
306,src_31,20.44,1.44,Speech,ANGRY,莲叶长得多么茂盛啊。😡
307,src_31,26.44,1.02,Speech,NEUTRAL,一会儿游到东面。
308,src_31,36.38,1.28,Speech,NEUTRAL,这是一首采莲歌。
309,src_31,38.30,1.68,Speech,NEUTRAL,表现了采莲时节的劳动。
310,src_31,46.20,2.16,Speech,NEUTRAL,人们感受到一派生机勃勃的景。
311,src_32,0.04,3.50,Speech,ANGRY,气，你这饼太小了，我给你选个大饼。😡
312,src_32,3.58,1.74,Speech,HAPPY,诶，还有大饼。😊
313,src_32,5.40,6.26,BGM,HAPPY,🎼嗨嗯嗯。😊
314,src_32,11.88,6.12,Speech,HAPPY,耶，我是大兵大龙鼠要回来了。😊
315,src_32,18.84,1.04,Speech,ANGRY,在哪里捏？😡
316,src_32,20.94,1.30,Speech,-,嗯嗯你。
317,src_32,22.96,2.50,Speech,-,哦。
318,src_33,0.24,2.64,Speech,-,小区，这个看起来好好吃呀。
319,src_33,4.22,1.02,Speech,-,耶。
320,src_33,5.78,1.94,Cry,-,😭嗯嗯。
321,src_33,7.80,1.80,Speech,-,怎么？
322,src_33,10.00,1.00,Speech,-,哎。
323,src_33,11.34,2.38,Speech,SURPRISED,哦，我们做朋友吧。😮
324,src_33,13.76,3.76,Speech,ANGRY,我这人就喜欢交朋友，如果你能打破我的记录，吃什么，我买的。😡
325,src_33,17.62,1.50,Speech,-,去不去无所谓。
326,src_33,19.16,14.26,Speech,HAPPY,主要我也喜欢交朋友刷么么哒。😊
327,src_33,33.46,3.12,Speech,ANGRY,到大润发及欧尚指店门店彩票上站，玩的越多领。😡
328,src_33,37.20,1.86,Speech,ANGRY,任务详情以店内公告为准。😡
329,src_33,40.20,1.44,Speech,-,哎呦，我的妈。
330,src_34,0.28,3.10,Speech,ANGRY,小这做玩那只烧鸡，绝对不是我丢去。😡
331,src_34,3.82,1.74,Speech,-,我发去。
332,src_34,9.10,1.04,Speech,-,这雨下的。
333,src_34,10.16,5.10,Speech,ANGRY,真让人头的，大头大头下雨不出，别人有伞我有大头。😡
334,src_34,17.50,0.98,Speech,-,这就。
335,src_34,18.54,4.98,Speech,ANGRY,你以为我怕你吗？我根本不在怕的。😡
336,src_34,23.52,3.40,Speech,ANGRY,我发誓。😡
337,src_35,0.04,2.32,Speech,HAPPY,肯去还我肯定哥。😊
338,src_35,5.22,2.28,Speech,HAPPY,危险危险危险，好久不。😊
339,src_35,8.56,2.74,Speech,ANGRY,不是说这个这里不能烤地瓜。😡
340,src_35,11.36,1.44,Speech,ANGRY,天气干燥，容易起火。😡
341,src_35,12.98,2.60,Speech,SURPRISED,就这么一点火还威险？😮
342,src_35,16.62,1.94,Speech,-,啊着火了啊啊，小心。
343,src_35,19.00,3.48,Speech,HAPPY,有只。😊
344,src_35,23.24,2.06,Speech,-,麦龙。
345,src_35,27.54,9.00,BGM,HAPPY,🎼你和我那么像trale都一样绿马，黑马，这蓝雨的避风战马战那。😊
346,src_35,36.64,6.26,BGM,HAPPY,🎼冷唱得如烟以后。😊
347,src_35,43.28,4.96,Speech,SAD,妖毛哥哥，我再也不玩火了你。😔
348,src_36,1.72,1.86,Speech,ANGRY,看我不把你们的钱包榨干。😡
349,src_36,4.06,2.28,Speech,ANGRY,发飙了发飙了嗯。😡
350,src_36,7.28,1.34,Speech,ANGRY,丢发飙了。😡
351,src_36,9.42,1.92,Speech,ANGRY,不要放飙啊。😡
352,src_36,11.60,2.44,Speech,ANGRY,帮抱龙，你快憋回去。😡
353,src_36,15.54,1.72,Speech,ANGRY,哼，我发的是飞镖。😡
354,src_36,17.70,1.14,Speech,ANGRY,10.1标。😡
355,src_36,19.18,4.84,Speech,ANGRY,击中靶仙，大奖都归你稳我要玩我要稳。😡
356,src_36,25.20,0.92,Speech,ANGRY,是我一。😡
357,src_36,27.34,1.58,Speech,-,B。
358,src_36,33.24,1.08,Speech,ANGRY,要干嘛？😡
359,src_36,34.60,1.54,Speech,ANGRY,根本不算哦。😡
360,src_36,36.26,1.18,Speech,ANGRY,为着马子发射。😡
361,src_36,42.66,2.64,Speech,ANGRY,再吃我一边哦哦。😡
362,src_36,46.46,1.44,Speech,ANGRY,没那么简单。😡
363,src_36,49.56,2.06,Speech,-,啊，你作弊。
364,src_36,52.20,2.20,Speech,ANGRY,你要你管神龙。😡
365,src_36,54.52,1.28,Speech,HAPPY,哎喂。😊
366,src_36,62.00,1.04,Speech,-,诶。
367,src_36,67.40,1.40,Speech,-,啊。
368,src_36,70.54,1.96,Speech,HAPPY,谢谢你的奖品哦。😊
369,src_36,74.30,1.20,Speech,-,万千你。
370,src_36,76.74,2.64,Speech,-,急了吧。
371,src_37,2.70,1.28,Speech,-,可泥。
372,src_37,7.08,2.00,Speech,ANGRY,什么狗单杠漏电吗？😡
373,src_37,11.26,1.32,Speech,-,嗯。
374,src_37,13.90,2.22,Speech,SAD,这我吃太饱了。😔
375,src_37,20.74,1.00,Speech,ANGRY,深秋不怕。😡
376,src_37,21.94,0.96,Speech,-,何昌毅。
377,src_37,23.10,0.92,Speech,-,速度没。
378,src_37,24.26,2.88,Speech,NEUTRAL,7K56专利蜘珠。
379,src_37,27.16,1.84,Speech,NEUTRAL,丰富膳食纤维。
380,src_37,29.00,1.58,Speech,-,天赏一只。
381,src_37,34.30,1.50,Speech,-,喂。
