idx,src,t0,t1,dur
121,src_13,15.90,17.38,1.60
122,src_13,17.50,18.62,1.24
123,src_13,20.02,21.18,1.28
124,src_13,21.92,24.06,2.26
125,src_13,24.18,28.18,4.12
126,src_13,28.38,32.96,4.68
127,src_14,2.24,7.30,5.18
128,src_14,7.50,8.56,1.18
129,src_14,8.72,10.06,1.46
130,src_14,10.18,11.72,1.66
131,src_14,13.06,16.92,3.98
132,src_14,17.22,25.50,8.40
133,src_14,25.90,27.98,2.20
134,src_14,31.36,32.22,0.98
135,src_14,34.64,35.66,1.14
136,src_14,36.20,40.86,4.78
137,src_14,43.40,44.84,1.56
138,src_14,46.32,48.10,1.90
139,src_14,48.22,50.60,2.50
140,src_14,50.84,52.12,1.40
141,src_14,52.30,54.08,1.90
142,src_14,54.20,55.56,1.48
143,src_14,55.72,56.70,1.10
144,src_15,0.12,1.04,1.04
145,src_15,1.56,2.44,1.00
146,src_15,2.66,3.96,1.42
147,src_15,4.22,5.44,1.34
148,src_15,6.50,12.70,6.32
149,src_15,13.60,14.70,1.22
150,src_15,15.56,16.68,1.24
151,src_15,16.82,18.22,1.52
152,src_15,18.42,19.86,1.56
153,src_15,19.98,21.34,1.48
154,src_15,21.74,24.56,2.94
155,src_15,24.88,26.88,2.12
156,src_15,27.00,33.52,6.64
157,src_16,0.04,1.68,1.74
158,src_16,2.14,4.72,2.70
159,src_16,5.06,6.18,1.24
160,src_16,6.60,8.44,1.96
161,src_16,8.58,11.20,2.74
162,src_16,11.40,12.96,1.68
163,src_16,13.32,14.86,1.66
164,src_16,15.06,17.76,2.82
165,src_16,17.94,19.34,1.52
166,src_16,20.32,22.52,2.32
167,src_16,24.08,25.84,1.88
168,src_16,27.82,29.24,1.54
169,src_16,29.36,32.48,3.24
170,src_16,32.76,35.32,2.68
171,src_16,37.62,38.48,0.98
172,src_16,38.62,40.16,1.66
173,src_16,40.36,46.28,6.00
174,src_17,0.04,1.10,1.16
175,src_17,2.16,5.42,3.38
176,src_17,8.26,9.66,1.52
177,src_17,9.78,14.92,5.26
178,src_17,15.04,17.22,2.30
179,src_17,17.74,20.16,2.54
180,src_17,21.28,25.26,4.10
181,src_18,1.96,3.40,1.56
182,src_18,4.38,5.22,0.96
183,src_18,5.58,7.18,1.72
184,src_18,8.12,10.34,2.34
185,src_18,12.48,14.62,2.26
186,src_18,14.96,17.50,2.66
187,src_18,17.64,19.56,2.04
188,src_18,20.48,21.36,1.00
189,src_18,22.10,22.92,0.94
190,src_18,23.06,26.36,3.42
191,src_18,27.30,28.22,1.04
192,src_18,29.74,34.98,5.36
193,src_18,36.24,37.82,1.70
194,src_18,41.68,43.74,2.18
195,src_18,44.82,45.76,1.06
196,src_18,46.12,49.14,3.14
197,src_18,49.36,50.22,0.98
198,src_18,50.98,54.40,3.54
199,src_18,55.66,56.50,0.96
200,src_18,57.52,59.00,1.57
201,src_19,0.10,1.74,1.76
202,src_19,3.72,6.80,3.20
203,src_19,7.04,10.46,3.54
204,src_19,10.58,14.64,4.18
205,src_19,14.94,16.30,1.48
206,src_19,16.82,17.78,1.08
207,src_20,0.04,0.92,0.98
208,src_20,1.86,3.64,1.90
209,src_20,5.88,7.22,1.46
210,src_20,8.74,18.58,9.96
211,src_20,19.56,21.30,1.86
212,src_20,21.66,26.48,4.94
213,src_20,26.62,27.46,0.93
214,src_21,0.42,1.66,1.36
215,src_21,2.92,10.16,7.36
216,src_21,10.28,16.46,6.27
217,src_22,0.06,2.36,2.42
218,src_22,2.56,3.42,0.98
219,src_22,3.54,4.50,1.08
220,src_22,7.12,9.12,2.12
221,src_22,10.36,12.26,2.02
222,src_22,13.10,20.00,7.00
223,src_23,0.04,2.88,2.94
224,src_23,5.18,9.24,4.18
225,src_23,9.50,16.60,7.22
226,src_23,20.02,21.04,1.14
227,src_23,23.12,30.70,7.70
228,src_23,33.72,34.54,0.94
229,src_23,36.70,39.72,3.14
230,src_23,41.06,45.76,4.82
231,src_23,46.34,48.70,2.48
232,src_23,54.24,55.90,1.78
233,src_24,0.04,4.06,4.12
234,src_24,4.36,5.62,1.38
235,src_24,5.80,6.70,1.02
236,src_24,7.98,15.68,7.82
237,src_24,17.02,22.32,5.42
238,src_25,0.94,3.18,2.36
239,src_25,3.44,5.98,2.66
240,src_25,6.24,7.06,0.94
241,src_25,7.56,8.60,1.16
242,src_25,12.10,13.12,1.14
243,src_25,13.32,14.44,1.24
244,src_25,14.68,16.32,1.76
245,src_25,22.06,22.96,1.02
246,src_25,23.12,26.96,3.96
247,src_25,27.14,29.58,2.56
248,src_25,29.76,34.88,5.24
249,src_25,36.00,37.06,1.18
250,src_25,37.28,40.92,3.76
251,src_25,41.04,42.20,1.28
252,src_25,43.86,45.84,2.10
253,src_25,50.02,51.46,1.56
254,src_25,52.84,54.28,1.56
255,src_25,54.50,56.28,1.90
256,src_25,56.44,59.04,2.69
257,src_26,0.24,2.96,2.84
258,src_26,4.08,6.76,2.80
259,src_26,9.20,10.62,1.54
260,src_26,12.06,14.74,2.80
261,src_26,15.54,16.82,1.40
262,src_26,16.94,17.86,1.04
263,src_26,19.56,23.54,4.09
264,src_27,0.26,2.12,1.98
265,src_27,3.14,8.02,5.00
266,src_27,8.16,10.56,2.52
267,src_27,11.16,15.30,4.26
268,src_27,16.58,21.16,4.70
269,src_27,21.34,25.38,4.12
270,src_28,0.30,7.78,7.60
271,src_28,9.76,16.72,7.08
272,src_28,17.62,19.68,2.18
273,src_28,21.56,22.44,1.00
274,src_28,25.18,29.14,4.08
275,src_28,30.24,32.58,2.46
276,src_28,33.08,34.34,1.38
277,src_28,35.06,42.32,7.38
278,src_28,42.72,45.06,2.46
279,src_28,45.34,46.70,1.48
280,src_28,46.82,47.82,1.12
281,src_28,49.02,49.90,1.00
282,src_28,50.16,53.88,3.84
283,src_28,54.04,55.06,1.14
284,src_28,56.38,58.76,2.50
285,src_29,1.18,6.60,5.54
286,src_29,6.72,8.40,1.80
287,src_29,10.82,11.94,1.24
288,src_29,12.08,13.26,1.30
289,src_29,13.78,18.02,4.36
290,src_29,18.56,20.00,1.56
291,src_29,20.18,21.62,1.56
292,src_29,24.86,25.76,1.02
293,src_29,26.52,36.36,9.96
294,src_29,38.94,40.00,1.18
295,src_29,40.94,41.84,1.02
296,src_29,42.52,44.36,1.96
297,src_29,44.60,47.74,3.26
298,src_29,48.76,49.78,1.14
299,src_29,49.92,51.28,1.48
300,src_29,51.46,53.38,2.04
301,src_30,0.16,24.98,24.94
302,src_30,25.10,27.98,2.96
303,src_31,3.16,4.26,1.22
304,src_31,5.10,6.36,1.38
305,src_31,17.66,19.26,1.72
306,src_31,20.44,21.76,1.44
307,src_31,26.44,27.34,1.02
308,src_31,36.38,37.54,1.28
309,src_31,38.30,39.86,1.68
310,src_31,46.20,48.24,2.16
311,src_32,0.04,3.44,3.50
312,src_32,3.58,5.20,1.74
313,src_32,5.40,11.54,6.26
314,src_32,11.88,17.88,6.12
315,src_32,18.84,19.76,1.04
316,src_32,20.94,22.12,1.30
317,src_32,22.96,25.38,2.50
318,src_33,0.24,2.76,2.64
319,src_33,4.22,5.12,1.02
320,src_33,5.78,7.60,1.94
321,src_33,7.80,9.48,1.80
322,src_33,10.00,10.88,1.00
323,src_33,11.34,13.60,2.38
324,src_33,13.76,17.40,3.76
325,src_33,17.62,19.00,1.50
326,src_33,19.16,33.30,14.26
327,src_33,33.46,36.46,3.12
328,src_33,37.20,38.94,1.86
329,src_33,40.20,41.52,1.44
330,src_34,0.28,3.26,3.10
331,src_34,3.82,5.44,1.74
332,src_34,9.10,10.02,1.04
333,src_34,10.16,15.14,5.10
334,src_34,17.50,18.36,0.98
335,src_34,18.54,23.40,4.98
336,src_34,23.52,26.80,3.40
337,src_35,0.04,2.26,2.32
338,src_35,5.22,7.38,2.28
339,src_35,8.56,11.18,2.74
340,src_35,11.36,12.68,1.44
341,src_35,12.98,15.46,2.60
342,src_35,16.62,18.44,1.94
343,src_35,19.00,22.36,3.48
344,src_35,23.24,25.18,2.06
345,src_35,27.54,36.42,9.00
346,src_35,36.64,42.78,6.26
347,src_35,43.28,48.12,4.96
348,src_36,1.72,3.46,1.86
349,src_36,4.06,6.22,2.28
350,src_36,7.28,8.50,1.34
351,src_36,9.42,11.22,1.92
352,src_36,11.60,13.92,2.44
353,src_36,15.54,17.14,1.72
354,src_36,17.70,18.72,1.14
355,src_36,19.18,23.90,4.84
356,src_36,25.20,26.00,0.92
357,src_36,27.34,28.80,1.58
358,src_36,33.24,34.20,1.08
359,src_36,34.60,36.02,1.54
360,src_36,36.26,37.32,1.18
361,src_36,42.66,45.18,2.64
362,src_36,46.46,47.78,1.44
363,src_36,49.56,51.50,2.06
364,src_36,52.20,54.28,2.20
365,src_36,54.52,55.68,1.28
366,src_36,62.00,62.92,1.04
367,src_36,67.40,68.68,1.40
368,src_36,70.54,72.38,1.96
369,src_36,74.30,75.38,1.20
370,src_36,76.74,79.26,2.64
371,src_37,2.70,3.86,1.28
372,src_37,7.08,8.96,2.00
373,src_37,11.26,12.46,1.32
374,src_37,13.90,16.00,2.22
375,src_37,20.74,21.62,1.00
376,src_37,21.94,22.78,0.96
377,src_37,23.10,23.90,0.92
378,src_37,24.26,27.02,2.88
379,src_37,27.16,28.88,1.84
380,src_37,29.00,30.46,1.58
381,src_37,34.30,35.68,1.50
382,src_37,36.30,37.34,1.16
383,src_37,37.48,49.96,12.60
384,src_37,50.30,51.24,1.06
385,src_37,53.16,54.94,1.90
386,src_37,55.22,56.46,1.36
387,src_37,56.60,57.56,1.08
388,src_38,5.94,7.06,1.24
389,src_38,8.66,10.50,1.96
390,src_38,12.60,13.62,1.14
391,src_38,14.22,15.54,1.44
392,src_38,17.88,19.94,2.18
393,src_38,20.06,21.54,1.60
394,src_38,25.34,27.96,2.74
395,src_38,29.24,30.18,1.06
396,src_38,30.84,31.88,1.16
397,src_38,32.42,35.16,2.86
398,src_38,35.30,40.38,5.20
399,src_38,40.54,41.60,1.18
400,src_38,42.64,45.10,2.58
401,src_38,45.26,46.40,1.26
402,src_38,49.72,50.70,1.10
403,src_38,51.62,53.72,2.22
404,src_39,0.04,1.54,1.60
405,src_39,2.04,3.70,1.78
406,src_39,4.34,5.68,1.46
407,src_39,7.34,8.18,0.96
408,src_39,10.84,13.04,2.32
409,src_39,16.94,18.14,1.32
410,src_39,19.34,21.88,2.66
411,src_39,23.60,24.52,1.04
412,src_39,24.64,25.86,1.34
413,src_39,32.00,33.54,1.66
414,src_39,34.46,35.34,1.00
415,src_39,35.66,37.04,1.50
416,src_39,37.26,39.56,2.42
417,src_39,40.58,43.02,2.56
418,src_39,44.50,51.00,6.62
419,src_40,2.70,3.58,1.00
420,src_40,3.70,4.78,1.20
421,src_40,5.08,6.28,1.32
422,src_40,6.80,8.38,1.70
423,src_40,11.70,13.00,1.42
424,src_40,14.26,16.76,2.62
425,src_40,17.78,20.52,2.86
426,src_40,23.58,24.96,1.50
427,src_40,28.00,29.52,1.64
