idx,src,t0,dur,ci,ct0,cdur,text
9,src_03,7.52,4.4,4,9.52,1.5,我能有多骄傲，不可一。😔
9,src_03,7.52,4.4,5,10.02,1.5,我能有多骄傲，不可一。😔
10,src_09,9.74,1.52,0,9.74,1.5,您真大方。
11,src_08,22.9,1.32,0,22.9,1.32,还是月饼啊。
12,src_06,24.88,2.52,0,24.88,1.5,给你扣个城堡不就好了吗？😔
12,src_06,24.88,2.52,1,25.38,1.5,给你扣个城堡不就好了吗？😔
12,src_06,24.88,2.52,2,25.88,1.5,给你扣个城堡不就好了吗？😔
13,src_03,2.92,2.82,0,2.92,1.5,你说那是保力奴小七。😡
13,src_03,2.92,2.82,1,3.42,1.5,你说那是保力奴小七。😡
13,src_03,2.92,2.82,2,3.92,1.5,你说那是保力奴小七。😡
14,src_02,6.88,1.24,0,6.88,1.24,朵朵。
15,src_07,23.98,1.74,0,23.98,1.5,你才是奶龙。😡
16,src_03,44.76,1.0,0,44.76,1.0,嗯嗯嗯嗯嗯。
17,src_07,10.74,2.12,0,10.74,1.5,嗯。
17,src_07,10.74,2.12,1,11.24,1.5,嗯。
18,src_08,13.92,5.16,0,13.92,1.5,你人不懂事，不要快追，月亮月亮月亮月亮月饼月饼。😊
18,src_08,13.92,5.16,1,14.42,1.5,你人不懂事，不要快追，月亮月亮月亮月亮月饼月饼。😊
18,src_08,13.92,5.16,2,14.92,1.5,你人不懂事，不要快追，月亮月亮月亮月亮月饼月饼。😊
18,src_08,13.92,5.16,3,15.42,1.5,你人不懂事，不要快追，月亮月亮月亮月亮月饼月饼。😊
18,src_08,13.92,5.16,4,15.92,1.5,你人不懂事，不要快追，月亮月亮月亮月亮月饼月饼。😊
18,src_08,13.92,5.16,5,16.42,1.5,你人不懂事，不要快追，月亮月亮月亮月亮月饼月饼。😊
18,src_08,13.92,5.16,6,16.92,1.5,你人不懂事，不要快追，月亮月亮月亮月亮月饼月饼。😊
18,src_08,13.92,5.16,7,17.42,1.5,你人不懂事，不要快追，月亮月亮月亮月亮月饼月饼。😊
19,src_04,18.34,1.52,0,18.34,1.5,我我饿了。
20,src_09,19.28,1.78,0,19.28,1.5,你。
21,src_01,3.96,1.02,0,3.96,1.02,今天的脊重。
22,src_01,1.98,1.64,0,1.98,1.5,真的很酷酷。😊
23,src_01,11.74,3.12,0,11.74,1.5,我要减肥肥，我要变瘦瘦。😊
23,src_01,11.74,3.12,1,12.24,1.5,我要减肥肥，我要变瘦瘦。😊
23,src_01,11.74,3.12,2,12.74,1.5,我要减肥肥，我要变瘦瘦。😊
23,src_01,11.74,3.12,3,13.24,1.5,我要减肥肥，我要变瘦瘦。😊
24,src_02,8.64,1.5,0,8.64,1.5,一边来听吗。😊
25,src_03,0.12,2.8,0,0.12,1.5,嗯，森林下的雪。😮
25,src_03,0.12,2.8,1,0.62,1.5,嗯，森林下的雪。😮
25,src_03,0.12,2.8,2,1.12,1.5,嗯，森林下的雪。😮
26,src_03,18.44,2.58,0,18.44,1.5,哇，小气。
26,src_03,18.44,2.58,1,18.94,1.5,哇，小气。
26,src_03,18.44,2.58,2,19.44,1.5,哇，小气。
27,src_03,21.14,2.52,0,21.14,1.5,该喝药了，快快融化。😊
27,src_03,21.14,2.52,1,21.64,1.5,该喝药了，快快融化。😊
27,src_03,21.14,2.52,2,22.14,1.5,该喝药了，快快融化。😊
28,src_05,7.92,1.04,0,7.92,1.04,哎。😊
29,src_02,10.34,11.0,0,10.34,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,1,10.84,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,2,11.34,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,3,11.84,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,4,12.34,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,5,12.84,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,6,13.34,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,7,13.84,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,8,14.34,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,9,14.84,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,10,15.34,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,11,15.84,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,12,16.34,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,13,16.84,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,14,17.34,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,15,17.84,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,16,18.34,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,17,18.84,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,18,19.34,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
29,src_02,10.34,11.0,19,19.84,1.5,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
30,src_04,9.54,1.68,0,9.54,1.5,你搬的好凶呀。😡
31,src_06,6.34,2.62,0,6.34,1.5,啊，你蜂。
31,src_06,6.34,2.62,1,6.84,1.5,啊，你蜂。
31,src_06,6.34,2.62,2,7.34,1.5,啊，你蜂。
32,src_06,11.84,1.58,0,11.84,1.5,啊嗯嗯。
33,src_08,0.12,2.3,0,0.12,1.5,小鸡弯弯的月亮像。
33,src_08,0.12,2.3,1,0.62,1.5,小鸡弯弯的月亮像。
34,src_08,21.28,1.58,0,21.28,1.5,后羿射的是月亮。
35,src_09,8.34,1.4,0,8.34,1.4,不就一个蛋吗。😡
36,src_04,4.44,1.24,0,4.44,1.24,调皮鬼。😡
37,src_04,0.32,4.04,0,0.32,1.5,啊啊什么鬼啊。😊
37,src_04,0.32,4.04,1,0.82,1.5,啊啊什么鬼啊。😊
37,src_04,0.32,4.04,2,1.32,1.5,啊啊什么鬼啊。😊
37,src_04,0.32,4.04,3,1.82,1.5,啊啊什么鬼啊。😊
37,src_04,0.32,4.04,4,2.32,1.5,啊啊什么鬼啊。😊
37,src_04,0.32,4.04,5,2.82,1.5,啊啊什么鬼啊。😊
38,src_05,3.54,2.18,0,3.54,1.5,小七，你给我做的。😡
38,src_05,3.54,2.18,1,4.04,1.5,小七，你给我做的。😡
39,src_05,18.12,2.18,0,18.12,1.5,我给你换个大罐儿嗯。😡
39,src_05,18.12,2.18,1,18.62,1.5,我给你换个大罐儿嗯。😡
40,src_06,10.84,1.0,0,10.84,1.0,哇。
41,src_07,21.92,1.04,0,21.92,1.04,你是奶牛。😡
42,src_08,26.08,1.98,0,26.08,1.5,你等着被抓住吧。😡
43,src_01,0.14,1.6,0,0.14,1.5,我就大肚嘟。
44,src_01,5.04,1.66,0,5.04,1.5,依旧那么稳定呢。😡
45,src_01,8.86,2.0,0,8.86,1.5,那是因为只能撑到呢。😡
45,src_01,8.86,2.0,1,9.36,1.5,那是因为只能撑到呢。😡
46,src_05,0.1,2.46,0,0.1,1.5,嘿嘿收工。
46,src_05,0.1,2.46,1,0.6,1.5,嘿嘿收工。
47,src_05,5.72,2.1,0,5.72,1.5,怎么跟没血染一样啊？😡
47,src_05,5.72,2.1,1,6.22,1.5,怎么跟没血染一样啊？😡
48,src_05,15.26,2.0,0,15.26,1.5,你就去哦嗯嗯。
48,src_05,15.26,2.0,1,15.76,1.5,你就去哦嗯嗯。
49,src_07,3.18,1.06,0,3.18,1.06,你会不合？😡
50,src_05,14.34,0.92,0,14.34,0.92,小鸡。
51,src_09,5.4,2.8,0,5.4,1.5,还不是你偷了他的蛋，真小俊。😡
51,src_09,5.4,2.8,1,5.9,1.5,还不是你偷了他的蛋，真小俊。😡
51,src_09,5.4,2.8,2,6.4,1.5,还不是你偷了他的蛋，真小俊。😡
52,src_04,21.14,1.54,0,21.14,1.5,他竟然不吃棒棒糖。😡
53,src_06,14.22,8.0,0,14.22,1.5,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
53,src_06,14.22,8.0,1,14.72,1.5,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
53,src_06,14.22,8.0,2,15.22,1.5,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
53,src_06,14.22,8.0,3,15.72,1.5,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
53,src_06,14.22,8.0,4,16.22,1.5,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
53,src_06,14.22,8.0,5,16.72,1.5,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
53,src_06,14.22,8.0,6,17.22,1.5,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
53,src_06,14.22,8.0,7,17.72,1.5,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
53,src_06,14.22,8.0,8,18.22,1.5,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
53,src_06,14.22,8.0,9,18.72,1.5,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
53,src_06,14.22,8.0,10,19.22,1.5,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
53,src_06,14.22,8.0,11,19.72,1.5,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
53,src_06,14.22,8.0,12,20.22,1.5,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
53,src_06,14.22,8.0,13,20.72,1.5,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
54,src_07,15.52,0.96,0,15.52,0.96,我有办法。😡
55,src_05,9.02,2.18,0,9.02,1.5,这个色儿好看，换你给我拔罐。😡
55,src_05,9.02,2.18,1,9.52,1.5,这个色儿好看，换你给我拔罐。😡
56,src_03,5.82,1.52,0,5.82,1.5,你怎么被冻住了？😡
57,src_04,8.06,1.44,0,8.06,1.44,啊。
58,src_08,2.42,5.34,0,2.42,1.5,什么呀啊这月亮会被割耳朵的。切，怎么可能？😮
58,src_08,2.42,5.34,1,2.92,1.5,什么呀啊这月亮会被割耳朵的。切，怎么可能？😮
58,src_08,2.42,5.34,2,3.42,1.5,什么呀啊这月亮会被割耳朵的。切，怎么可能？😮
58,src_08,2.42,5.34,3,3.92,1.5,什么呀啊这月亮会被割耳朵的。切，怎么可能？😮
58,src_08,2.42,5.34,4,4.42,1.5,什么呀啊这月亮会被割耳朵的。切，怎么可能？😮
58,src_08,2.42,5.34,5,4.92,1.5,什么呀啊这月亮会被割耳朵的。切，怎么可能？😮
58,src_08,2.42,5.34,6,5.42,1.5,什么呀啊这月亮会被割耳朵的。切，怎么可能？😮
58,src_08,2.42,5.34,7,5.92,1.5,什么呀啊这月亮会被割耳朵的。切，怎么可能？😮
59,src_06,2.1,2.34,0,2.1,1.5,看我干啥嗯。😊
59,src_06,2.1,2.34,1,2.6,1.5,看我干啥嗯。😊
60,src_09,2.12,3.22,0,2.12,1.5,小珍猪精啊，怎么这么凶啊？😮
60,src_09,2.12,3.22,1,2.62,1.5,小珍猪精啊，怎么这么凶啊？😮
60,src_09,2.12,3.22,2,3.12,1.5,小珍猪精啊，怎么这么凶啊？😮
60,src_09,2.12,3.22,3,3.62,1.5,小珍猪精啊，怎么这么凶啊？😮
61,src_09,13.74,2.56,0,13.74,1.5,警位回死。
61,src_09,13.74,2.56,1,14.24,1.5,警位回死。
61,src_09,13.74,2.56,2,14.74,1.5,警位回死。
62,src_01,14.96,2.62,0,14.96,1.5,小狗把小鸡给我架起来。😡
62,src_01,14.96,2.62,1,15.46,1.5,小狗把小鸡给我架起来。😡
62,src_01,14.96,2.62,2,15.96,1.5,小狗把小鸡给我架起来。😡
63,src_09,0.06,2.06,0,0.06,1.5,😭啊。
63,src_09,0.06,2.06,1,0.56,1.5,😭啊。
64,src_03,23.8,2.32,0,23.8,1.5,哇哦，再见再见。😮
64,src_03,23.8,2.32,1,24.3,1.5,哇哦，再见再见。😮
65,src_05,22.58,5.34,0,22.58,1.5,小鸡夺不夺金儿夺不夺金儿嗯，得劲儿。😮
65,src_05,22.58,5.34,1,23.08,1.5,小鸡夺不夺金儿夺不夺金儿嗯，得劲儿。😮
65,src_05,22.58,5.34,2,23.58,1.5,小鸡夺不夺金儿夺不夺金儿嗯，得劲儿。😮
65,src_05,22.58,5.34,3,24.08,1.5,小鸡夺不夺金儿夺不夺金儿嗯，得劲儿。😮
65,src_05,22.58,5.34,4,24.58,1.5,小鸡夺不夺金儿夺不夺金儿嗯，得劲儿。😮
65,src_05,22.58,5.34,5,25.08,1.5,小鸡夺不夺金儿夺不夺金儿嗯，得劲儿。😮
65,src_05,22.58,5.34,6,25.58,1.5,小鸡夺不夺金儿夺不夺金儿嗯，得劲儿。😮
65,src_05,22.58,5.34,7,26.08,1.5,小鸡夺不夺金儿夺不夺金儿嗯，得劲儿。😮
66,src_07,0.2,2.7,0,0.2,1.5,我是奶龙，我这是奶龙。😡
66,src_07,0.2,2.7,1,0.7,1.5,我是奶龙，我这是奶龙。😡
66,src_07,0.2,2.7,2,1.2,1.5,我是奶龙，我这是奶龙。😡
67,src_07,13.06,2.2,0,13.06,1.5,可恶，你居然都会。😡
67,src_07,13.06,2.2,1,13.56,1.5,可恶，你居然都会。😡
68,src_09,22.1,1.18,0,22.1,1.18,别哭了。
69,src_09,23.28,1.46,0,23.28,1.46,都都变形了。😡
70,src_03,40.24,2.02,0,40.24,1.5,啊我要弄个。😊
70,src_03,40.24,2.02,1,40.74,1.5,啊我要弄个。😊
71,src_05,27.92,1.08,0,27.92,1.08,怎么这么。😡
72,src_06,22.36,1.7,0,22.36,1.5,嗯，哎呀。
73,src_07,8.12,2.44,0,8.12,1.5,我还会变身呢。
73,src_07,8.12,2.44,1,8.62,1.5,我还会变身呢。
74,src_03,27.28,1.58,0,27.28,1.5,就可以开心的玩了。😊
75,src_03,16.42,1.58,0,16.42,1.5,熊来啦。
76,src_05,29.02,2.74,0,29.02,1.5,得劲儿嘿。😊
76,src_05,29.02,2.74,1,29.52,1.5,得劲儿嘿。😊
76,src_05,29.02,2.74,2,30.02,1.5,得劲儿嘿。😊
77,src_03,31.08,1.36,0,31.08,1.36,气拳王万分。😡
78,src_03,32.66,7.52,0,32.66,1.5,动快快去救救我去救救我奶飞啊。😊
78,src_03,32.66,7.52,1,33.16,1.5,动快快去救救我去救救我奶飞啊。😊
78,src_03,32.66,7.52,2,33.66,1.5,动快快去救救我去救救我奶飞啊。😊
78,src_03,32.66,7.52,3,34.16,1.5,动快快去救救我去救救我奶飞啊。😊
78,src_03,32.66,7.52,4,34.66,1.5,动快快去救救我去救救我奶飞啊。😊
78,src_03,32.66,7.52,5,35.16,1.5,动快快去救救我去救救我奶飞啊。😊
78,src_03,32.66,7.52,6,35.66,1.5,动快快去救救我去救救我奶飞啊。😊
78,src_03,32.66,7.52,7,36.16,1.5,动快快去救救我去救救我奶飞啊。😊
78,src_03,32.66,7.52,8,36.66,1.5,动快快去救救我去救救我奶飞啊。😊
78,src_03,32.66,7.52,9,37.16,1.5,动快快去救救我去救救我奶飞啊。😊
78,src_03,32.66,7.52,10,37.66,1.5,动快快去救救我去救救我奶飞啊。😊
78,src_03,32.66,7.52,11,38.16,1.5,动快快去救救我去救救我奶飞啊。😊
78,src_03,32.66,7.52,12,38.66,1.5,动快快去救救我去救救我奶飞啊。😊
79,src_03,42.26,2.16,0,42.26,1.5,豆豆。
79,src_03,42.26,2.16,1,42.76,1.5,豆豆。
80,src_08,29.1,2.18,0,29.1,1.5,哎呀哎呀。😊
80,src_08,29.1,2.18,1,29.6,1.5,哎呀哎呀。😊
