idx,src,t0,t1,dur,visual_label,visual_class,redimnet_margin,eres2netv2_margin,ensemble_score,production_score,decision,text
23,src_01,11.74,14.74,3.12,1,target,0.178390,0.144847,0.957691,0.927834,confirmed_target,我要减肥肥，我要变瘦瘦。😊
24,src_02,8.64,10.02,1.50,,,0.080579,0.064048,0.270064,0.250329,auto_accept,一边来听吗。😊
25,src_03,0.12,2.80,2.80,,,0.077920,0.043769,0.175563,0.080295,review,嗯，森林下的雪。😮
26,src_03,18.44,20.90,2.58,,,0.069601,0.080132,0.298342,0.385199,auto_accept,哇，小气。
27,src_03,21.14,23.54,2.52,,,-0.001334,-0.017541,-0.364164,-0.433796,review,该喝药了，快快融化。😊
28,src_05,7.92,8.84,1.04,0,other_speaker,-0.171259,-0.212029,-1.785647,-2.064577,confirmed_reject,哎。😊
29,src_02,10.34,21.22,11.00,0,non_speech,-0.012500,0.029976,-0.204776,-0.035367,confirmed_reject,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
30,src_04,9.54,11.10,1.68,0,other_speaker,0.074200,-0.035882,-0.171642,-0.587580,confirmed_reject,你搬的好凶呀。😡
31,src_06,6.34,8.84,2.62,1,target,0.083685,0.069688,0.304789,0.297623,confirmed_target,啊，你蜂。
32,src_06,11.84,13.30,1.58,1,target,0.119128,0.135374,0.706599,0.848403,confirmed_target,啊嗯嗯。
33,src_08,0.12,2.30,2.30,,,0.126428,0.134782,0.730152,0.843433,auto_accept,小鸡弯弯的月亮像。
34,src_08,21.28,22.74,1.58,,,0.134460,0.117463,0.686191,0.698213,auto_accept,后羿射的是月亮。
35,src_09,8.34,9.62,1.40,,,0.178675,0.135012,0.917476,0.845367,auto_accept,不就一个蛋吗。😡
36,src_04,4.44,5.56,1.24,,,0.085027,0.079025,0.348723,0.375913,auto_accept,调皮鬼。😡
37,src_04,0.32,4.24,4.04,,,-0.009638,0.048841,-0.115478,0.122819,review,啊啊什么鬼啊。😊
38,src_05,3.54,5.60,2.18,1,target,0.167025,0.209284,1.187305,1.468134,confirmed_target,小七，你给我做的。😡
39,src_05,18.12,20.18,2.18,1,target,0.176346,0.164402,1.032384,1.091799,confirmed_target,我给你换个大罐儿嗯。😡
40,src_06,10.84,11.72,1.00,,,0.036741,0.016715,-0.084738,-0.146554,review,哇。
41,src_07,21.92,22.84,1.04,,,0.226892,0.132199,1.077660,0.821780,auto_accept,你是奶牛。😡
42,src_08,26.08,27.94,1.98,,,0.165028,0.151715,0.938821,0.985416,auto_accept,你等着被抓住吧。😡
43,src_01,0.14,1.62,1.60,,,0.198598,0.149842,1.050709,0.969714,auto_accept,我就大肚嘟。
44,src_01,5.04,6.58,1.66,,,0.134544,0.150656,0.825655,0.976543,auto_accept,依旧那么稳定呢。😡
45,src_01,8.86,10.74,2.00,1,target,0.046310,-0.032650,-0.257572,-0.560480,confirmed_target,那是因为只能撑到呢。😡
46,src_05,0.10,2.44,2.46,0,other_speaker,-0.109639,-0.083292,-1.026130,-0.985117,confirmed_reject,嘿嘿收工。
47,src_05,5.72,7.70,2.10,1,target,0.216121,0.162188,1.164971,1.073237,confirmed_target,怎么跟没血染一样啊？😡
48,src_05,15.26,17.14,2.00,,,0.021119,0.042019,-0.034372,0.065616,review,你就去哦嗯嗯。
49,src_07,3.18,4.12,1.06,,,0.097809,0.138741,0.644674,0.876633,auto_accept,你会不合？😡
50,src_05,14.34,15.14,0.92,,,0.121823,0.117208,0.640049,0.696081,auto_accept,小鸡。
51,src_09,5.40,8.08,2.80,,,0.019237,0.021422,-0.127437,-0.107085,review,还不是你偷了他的蛋，真小俊。😡
52,src_04,21.14,22.56,1.54,1,target,0.178510,0.131432,0.901872,0.815343,confirmed_target,他竟然不吃棒棒糖。😡
53,src_06,14.22,22.10,8.00,1,target,0.156152,0.135371,0.838642,0.848374,confirmed_target,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
54,src_07,15.52,16.36,0.96,,,-0.002918,-0.072649,-0.600855,-0.895874,auto_reject,我有办法。😡
55,src_05,9.02,11.08,2.18,0,other_speaker,-0.152046,-0.128319,-1.366159,-1.362663,confirmed_reject,这个色儿好看，换你给我拔罐。😡
56,src_03,5.82,7.22,1.52,,,0.204776,0.148833,1.068513,0.961250,auto_accept,你怎么被冻住了？😡
57,src_04,8.06,9.38,1.44,,,0.064844,0.121718,0.455725,0.733897,auto_accept,啊。
58,src_08,2.42,7.64,5.34,,,0.071665,-0.000949,-0.034230,-0.294671,review,什么呀啊这月亮会被割耳朵的。切，怎么可能？😮
59,src_06,2.10,4.32,2.34,,,0.130356,0.068834,0.467677,0.290462,auto_accept,看我干啥嗯。😊
60,src_09,2.12,5.22,3.22,,,0.118944,0.127730,0.673892,0.784303,auto_accept,小珍猪精啊，怎么这么凶啊？😮
61,src_09,13.74,16.18,2.56,,,0.060122,0.091900,0.313873,0.483873,auto_accept,警位回死。
62,src_01,14.96,17.46,2.62,1,target,0.203287,0.155649,1.091779,1.018405,confirmed_target,小狗把小鸡给我架起来。😡
63,src_09,0.06,2.00,2.06,,,0.012037,0.048483,-0.039666,0.119819,review,😭啊。
64,src_03,23.80,26.00,2.32,,,0.105874,0.060524,0.345513,0.220781,review,哇哦，再见再见。😮
65,src_05,22.58,27.80,5.34,1,target,0.137252,0.119050,0.702803,0.711522,confirmed_target,小鸡夺不夺金儿夺不夺金儿嗯，得劲儿。😮
66,src_07,0.20,2.78,2.70,,,0.174994,0.155792,0.991462,1.019601,auto_accept,我是奶龙，我这是奶龙。😡
67,src_07,13.06,15.14,2.20,,,0.072412,0.116776,0.461996,0.692454,auto_accept,可恶，你居然都会。😡
68,src_09,22.10,23.16,1.18,,,0.167265,0.189138,1.103698,1.299213,auto_accept,别哭了。
69,src_09,23.28,24.62,1.46,,,0.190761,0.210719,1.277984,1.480168,auto_accept,都都变形了。😡
70,src_03,40.24,42.14,2.02,,,0.102026,0.077236,0.401855,0.360916,auto_accept,啊我要弄个。😊
71,src_05,27.92,28.88,1.08,,,0.053312,0.025804,0.012473,-0.070344,review,怎么这么。😡
72,src_06,22.36,23.94,1.70,1,target,0.099075,0.077398,0.392006,0.362267,confirmed_target,嗯，哎呀。
73,src_07,8.12,10.44,2.44,,,0.105231,0.114237,0.568413,0.671165,auto_accept,我还会变身呢。
74,src_03,27.28,28.74,1.58,,,-0.032058,0.066955,-0.119502,0.274704,auto_accept,就可以开心的玩了。😊
75,src_03,16.42,17.88,1.58,,,0.114805,0.059871,0.374632,0.215307,review,熊来啦。
76,src_05,29.02,31.64,2.74,,,0.048765,0.054234,0.115447,0.168044,review,得劲儿嘿。😊
77,src_03,31.08,32.32,1.36,,,0.102151,0.087191,0.444039,0.444388,auto_accept,气拳王万分。😡
78,src_03,32.66,40.06,7.52,,,0.049130,0.014207,-0.051065,-0.167584,review,动快快去救救我去救救我奶飞啊。😊
79,src_03,42.26,44.30,2.16,,,0.120093,0.076506,0.463236,0.354790,auto_accept,豆豆。
80,src_08,29.10,31.16,2.18,,,0.045120,0.068068,0.160442,0.284036,auto_accept,哎呀哎呀。😊
81,src_10,0.04,4.14,4.20,,,0.166054,0.057156,0.546047,0.192544,review,🎼春天在哪里呀？春天在哪里啊？😊
82,src_10,4.26,7.16,3.02,,,-0.016835,0.038553,-0.184279,0.036554,review,前面就到了哇。😊
83,src_10,7.28,8.24,1.08,,,0.090915,0.102193,0.466857,0.570177,auto_accept,小鸡。
84,src_10,8.38,9.22,0.96,,,0.123057,0.072417,0.456666,0.320505,auto_accept,你闻到了吗？😡
85,src_10,10.42,11.96,1.66,,,-0.059626,-0.062706,-0.761433,-0.812499,review,春天的味道。
86,src_10,13.54,16.82,3.40,,,-0.000540,-0.063268,-0.553044,-0.817214,review,是酸酸甜甜的味道，我看你是饿了吧。😡
87,src_10,16.94,17.78,0.96,,,-0.018171,0.020805,-0.263451,-0.112259,review,是呀。
88,src_10,18.04,24.50,6.58,,,-0.073893,-0.108237,-1.003213,-1.194280,auto_reject,嗯可是这里哪有吃的哎，上饿了么搜奶龙领爆红包就可以买到各种新品哦。😊
89,src_10,24.86,31.46,6.72,,,0.140436,0.058851,0.461777,0.206754,review,1.5折起，还有领券点优惠。这安慕希酸奶水进环冰淇淋都是新口味呢。😡
90,src_10,31.84,37.32,5.60,,,0.116981,0.118123,0.626612,0.703747,auto_accept,啊呜呜呜呜呜小宝，你对我真好，那是他点的。😡
91,src_10,38.10,39.66,1.68,,,0.105912,0.080427,0.429094,0.387671,auto_accept,那也不点多点啊。😡
92,src_10,40.30,46.20,6.01,,,0.077607,0.052115,0.209439,0.150275,review,驱蚊类，哎呀，我可真是个大乐虫啊。😊
93,src_11,0.96,2.44,1.60,,,0.085198,0.038968,0.181394,0.040036,review,哎呦miss。
94,src_11,3.18,4.80,1.74,,,0.098131,0.099700,0.482143,0.549275,auto_accept,这姐就不要题。😊
95,src_11,4.92,10.28,5.48,,,0.109473,0.105350,0.546285,0.596651,auto_accept,我你这一再看他你不胖都不平嗯。😊
96,src_11,10.88,12.32,1.56,,,0.020062,0.067592,0.069073,0.280048,auto_accept,去我没。
97,src_11,12.48,13.30,0.94,,,0.133384,0.026582,0.301334,-0.063825,review,醉呃。
98,src_11,14.08,15.92,1.96,,,0.055433,0.063098,0.176394,0.242368,auto_accept,😀喂喂喂。😊
99,src_11,17.30,22.30,5.12,,,0.039363,0.052027,0.072661,0.149537,review,他说咬洗你我的。😊
100,src_11,25.20,27.78,2.70,,,0.088876,0.082240,0.375930,0.402870,auto_accept,啊狗一就掉狗铃身。
101,src_11,28.84,31.64,2.92,,,-0.055643,-0.043106,-0.665055,-0.648155,review,啊啊，他去叫人了怎么办啊？
102,src_11,32.24,34.78,2.66,,,0.144775,0.084180,0.583446,0.419140,auto_accept,我有办法照片。😊
103,src_11,34.92,36.78,1.98,,,-0.005644,0.007113,-0.276174,-0.227069,review,就是呗。
104,src_11,37.98,39.72,1.86,,,0.144366,0.072766,0.534131,0.323428,auto_accept,这样他就认不出我们了。😡
105,src_11,39.92,41.50,1.70,,,0.005316,0.053458,-0.042779,0.161535,review,啊。
106,src_11,41.64,43.34,1.82,,,0.013851,-0.072837,-0.541828,-0.897448,auto_reject,他又说啥，你猜。😡
107,src_12,0.10,1.40,1.42,,,0.064976,0.024023,0.046610,-0.085275,review,这是。😊
108,src_12,2.80,4.66,1.98,,,0.164866,0.101771,0.728854,0.566637,auto_accept,你掉的是这个金戒具。
109,src_12,5.66,7.00,1.46,,,0.105525,0.045304,0.280457,0.093160,review,这句都不是。😡
110,src_12,7.12,9.80,2.80,,,0.082724,0.092204,0.395762,0.486420,auto_accept,嗯，你真诚实啊。
111,src_12,10.20,12.26,2.18,,,0.141069,0.126931,0.749458,0.777601,auto_accept,那我拿这两个跟你换吧。😡
112,src_12,12.94,17.06,4.24,,,0.088063,0.001423,0.034204,-0.274781,review,大到一个月应该能换这个钻戒了吧。对。😊
113,src_12,17.20,18.42,1.34,,,0.121988,0.112491,0.620861,0.656525,auto_accept,给你对意喏。😡
114,src_12,18.58,21.72,3.26,,,0.126500,0.067885,0.449944,0.282505,auto_accept,这是无价的。嗯嗯，你不要禁止不去吃吸。😡
115,src_12,22.72,26.20,3.58,,,0.088443,0.042528,0.207892,0.069882,review,啊祝你们幸福，。哎呦我的妈。😊
116,src_13,0.52,2.12,1.72,,,0.042722,-0.035431,-0.282026,-0.583798,review,哼嗯哼哎。😊
117,src_13,2.50,4.12,1.74,,,0.080929,-0.004494,-0.016048,-0.324392,review,😀哼哈哈哼。😊
118,src_13,5.10,6.20,1.22,,,0.071716,0.047553,0.169298,0.112022,review,这。
119,src_13,7.06,9.96,3.02,,,0.039907,0.094516,0.252734,0.505802,auto_accept,老龙蓝龙。😊
120,src_13,11.70,14.52,2.94,,,0.094475,0.148109,0.672055,0.955183,auto_accept,肚子好重，你先听我说。😡
121,src_13,15.90,17.38,1.60,,,0.077205,0.106986,0.438052,0.610368,auto_accept,我时间不多了。😔
122,src_13,17.50,18.62,1.24,,,0.101023,0.127754,0.610074,0.784509,auto_accept,我很怀念。😔
123,src_13,20.02,21.18,1.28,,,0.169540,0.171573,1.038171,1.151928,auto_accept,吃的蛋糕。😔
124,src_13,21.92,24.06,2.26,,,0.036304,0.031030,-0.026280,-0.026523,review,嗯嗯嗯。😊
125,src_13,24.18,28.18,4.12,,,0.092384,0.043844,0.227465,0.080917,review,这时候我哪有心情吃蛋糕啊。😊
126,src_13,28.38,32.96,4.68,,,0.127179,0.114923,0.649570,0.676914,auto_accept,是我去，不是你去。😡
127,src_14,2.24,7.30,5.18,,,0.036381,0.021522,-0.065870,-0.106248,review,我我滚我滚啊。😊
128,src_14,7.50,8.56,1.18,,,-0.000143,0.008019,-0.252752,-0.219468,review,走嗯。
129,src_14,8.72,10.06,1.46,,,0.083989,0.060791,0.268573,0.223018,review,神我毒。😡
130,src_14,10.18,11.72,1.66,,,0.035510,0.066722,0.120524,0.272750,auto_accept,我过来。
131,src_14,13.06,16.92,3.98,,,0.114127,0.005449,0.144052,-0.241018,review,当时那根距离我的人路只有0.01公分。
132,src_14,17.22,25.50,8.40,,,0.096100,0.024558,0.159865,-0.080794,review,但几秒钟之后，你再磨及他们就要把我抓走了。耶，我小七两只小狗呀。😡
133,src_14,25.90,27.98,2.20,,,0.064384,0.034921,0.090184,0.006099,review,飞到话筒中。
134,src_14,31.36,32.22,0.98,,,0.087807,0.055280,0.259087,0.176808,review,偷袭。
135,src_14,34.64,35.66,1.14,,,-0.020506,-0.015198,-0.422721,-0.414143,review,呃。
136,src_14,36.20,40.86,4.78,,,0.145746,0.057066,0.473234,0.191790,review,飞呀跳漂跳跳漂跳好呀。😊
137,src_14,43.40,44.84,1.56,,,0.191501,0.137603,0.974086,0.867093,auto_accept,非要逼我出手。😡
138,src_14,46.32,48.10,1.90,,,0.172395,0.141538,0.922430,0.900081,auto_accept,去到底是谁？😡
139,src_14,48.22,50.60,2.50,,,0.197598,0.095847,0.820767,0.516961,auto_accept,下这么狠的毒手。😡
140,src_14,50.84,52.12,1.40,,,0.110449,0.091757,0.492775,0.482668,auto_accept,都住。
141,src_14,52.30,54.08,1.90,,,0.068188,0.021396,0.047049,-0.107307,review,时候了，你还担心我。
142,src_14,54.20,55.56,1.48,,,0.014907,-0.011439,-0.280653,-0.382631,review,嗯嗯。
143,src_14,55.72,56.70,1.10,,,-0.007825,0.009639,-0.273363,-0.205889,review,哎。
144,src_15,0.12,1.04,1.04,,,0.119223,0.054205,0.366633,0.167797,review,哎呦哎呦。
145,src_15,1.56,2.44,1.00,,,0.172429,0.052802,0.550528,0.156030,review,加有哈。😡
146,src_15,2.66,3.96,1.42,,,-0.042226,-0.114546,-0.916713,-1.247181,auto_reject,你一根那我一根。😡
147,src_15,4.22,5.44,1.34,,,-0.115784,-0.118266,-1.194677,-1.278376,auto_reject,你一跟呢我一跟。😡
148,src_15,6.50,12.70,6.32,,,0.048046,0.057248,0.125520,0.193314,review,小七辛苦了，不先火灭火。小七，你有一根盖觉比我的长诶。😡
149,src_15,13.60,14.70,1.22,,,-0.000630,-0.033877,-0.430138,-0.570766,review,明明差不多嘛。😡
150,src_15,15.56,16.68,1.24,,,0.036752,0.148614,0.468286,0.959415,auto_accept,嗯，看吧。
151,src_15,16.82,18.22,1.52,,,0.205117,0.193605,1.257438,1.336668,auto_accept,我的眼睛就是池。😡
152,src_15,18.42,19.86,1.56,,,0.190793,0.135137,0.961219,0.846413,auto_accept,这个长的给你吧。😡
153,src_15,19.98,21.34,1.48,,,0.009434,0.038361,-0.091388,0.034942,review,奶龙真好。
154,src_15,21.74,24.56,2.94,,,0.051626,0.087426,0.264808,0.446352,auto_accept,啊啊这这这这这这这。😊
155,src_15,24.88,26.88,2.12,,,0.134259,0.198767,1.026343,1.379949,auto_accept,小七，你们跟强队。😡
156,src_15,27.00,33.52,6.64,,,0.116802,0.079586,0.464410,0.380617,auto_accept,🎼再分我一半吧，滚。😊
157,src_16,0.04,1.68,1.74,,,-0.082463,-0.047599,-0.779557,-0.685833,review,🎼摇曳的步伐。
158,src_16,2.14,4.72,2.70,,,-0.000207,0.068119,-0.001015,0.284464,auto_accept,快乐这个。😊
159,src_16,5.06,6.18,1.24,,,0.159715,0.078852,0.614395,0.374462,auto_accept,Surprise.
160,src_16,6.60,8.44,1.96,,,-0.071389,-0.025006,-0.645335,-0.496387,review,嗯，嘿嘿。😊
161,src_16,8.58,11.20,2.74,,,0.178890,0.164901,1.043552,1.095986,auto_accept,小七，你该不会偷吃火龙果了吧。😡
162,src_16,11.40,12.96,1.68,,,-0.109288,-0.090992,-1.057157,-1.049675,auto_reject,光嗯哪有。
163,src_16,13.32,14.86,1.66,,,-0.111993,-0.035042,-0.832236,-0.580537,review,我对火龙果过敏。😡
164,src_16,15.06,17.76,2.82,,,-0.072951,0.000275,-0.544914,-0.284404,review,呃，对了，我去旅游玩的开心嗯。😊
165,src_16,17.94,19.34,1.52,,,0.116115,0.175843,0.865516,1.187730,auto_accept,就知道你感兴趣。😡
166,src_16,20.32,22.52,2.32,,,0.052015,0.001488,-0.094099,-0.274235,review,都存在手机里了啊。😮
167,src_16,24.08,25.84,1.88,,,0.023632,0.057208,0.038270,0.192977,review,啊啊。
168,src_16,27.82,29.24,1.54,,,-0.017269,-0.019384,-0.428728,-0.449244,review,照片看不了了。😡
169,src_16,29.36,32.48,3.24,,,0.144963,0.138902,0.813536,0.877980,auto_accept,还好我位于臭猫，打开你的手机。😡
170,src_16,32.76,35.32,2.68,,,0.141458,0.112528,0.690464,0.656836,auto_accept,在我们的家庭分组里就能看哦。😊
171,src_16,37.62,38.48,0.98,,,0.109891,0.028531,0.225713,-0.047481,review,给我看下。😡
172,src_16,38.62,40.16,1.66,,,-0.001692,0.041024,-0.119906,0.057278,review,啊，不可以吗。
173,src_16,40.36,46.28,6.00,,,0.051282,0.014601,-0.041736,-0.164281,review,哎哎呀。😊
174,src_17,0.04,1.10,1.16,,,0.092864,0.069381,0.336245,0.295049,auto_accept,呃，悠呦。😊
175,src_17,2.16,5.42,3.38,,,0.161889,0.138587,0.872589,0.875345,auto_accept,蜗牛好久没见了，是不是要庆祝一下？😡
176,src_17,8.26,9.66,1.52,,,0.126036,0.105279,0.605062,0.596052,auto_accept,什么你到村长了。😡
177,src_17,9.78,14.92,5.26,,,0.219148,0.150387,1.126294,0.974286,auto_accept,赶紧庆祝一下，你有本事天天可以当村长啊。😡
178,src_17,15.04,17.22,2.30,,,0.056924,0.045262,0.106932,0.092809,review,可快就来针。😡
179,src_17,17.74,20.16,2.54,,,0.193052,0.055133,0.633860,0.175582,review,哦，你看graulation。😡
180,src_17,21.28,25.26,4.10,,,0.023670,0.031739,-0.068372,-0.020578,review,🎼我一定会回来。😊
181,src_18,1.96,3.40,1.56,,,0.044931,0.020592,-0.039271,-0.114044,review,哼嘿好。😊
182,src_18,4.38,5.22,0.96,,,0.078222,0.005240,0.015110,-0.242772,review,啊。
183,src_18,5.58,7.18,1.72,,,-0.055847,-0.089992,-0.862353,-1.041295,auto_reject,奶龙，要不算了吧。😡
184,src_18,8.12,10.34,2.34,,,0.104081,0.071332,0.384432,0.311409,auto_accept,我还有一只书，嘿。😡
185,src_18,12.48,14.62,2.26,,,0.066941,0.120541,0.458268,0.724022,auto_accept,哎呦这哦。😊
186,src_18,14.96,17.50,2.66,,,-0.040331,-0.041928,-0.605499,-0.638276,review,现在没手了哦哎喂这。😡
187,src_18,17.64,19.56,2.04,,,0.064325,-0.024020,-0.157134,-0.488121,review,花石头肉吃好吃又好玩的。😡
188,src_18,20.48,21.36,1.00,,,-0.098109,-0.058428,-0.880761,-0.776632,review,老龙别理他。😡
189,src_18,22.10,22.92,0.94,,,0.132179,0.069685,0.477747,0.297600,auto_accept,小区。
190,src_18,23.06,26.36,3.42,,,0.129868,0.101953,0.604787,0.568162,auto_accept,这妙脆角看起来好好吃哦，吃不了。😡
191,src_18,27.30,28.22,1.04,,,0.140065,0.115973,0.699935,0.685720,auto_accept,谁说的。😡
192,src_18,29.74,34.98,5.36,,,-0.089571,-0.061068,-0.861373,-0.798763,review,为我幼稚抱抱龙，我们走。😊
193,src_18,36.24,37.82,1.70,,,0.055492,0.017385,-0.015049,-0.140936,review,没有你们我也能去。😔
194,src_18,41.68,43.74,2.18,,,0.015128,-0.034101,-0.374873,-0.572644,review,哦，牛命。
195,src_18,44.82,45.76,1.06,,,0.056679,-0.116163,-0.570715,-1.260739,auto_reject,这这这。
196,src_18,46.12,49.14,3.14,,,0.090471,0.062888,0.300486,0.240607,auto_accept,那有你没事吗？哎呀呀别碰。😊
197,src_18,49.36,50.22,0.98,,,0.107146,0.128151,0.633576,0.787833,auto_accept,呃，对了。
198,src_18,50.98,54.40,3.54,,,-0.078490,-0.014659,-0.627283,-0.409630,review,这下好了，真的喂你了。
199,src_18,55.66,56.50,0.96,,,-0.001124,0.026241,-0.179856,-0.066677,review,臭味成功。😡
200,src_18,57.52,59.00,1.57,,,0.110695,0.146502,0.723175,0.941712,auto_accept,一起参遇投喂挑战。😡
201,src_19,0.10,1.74,1.76,,,0.209607,0.140194,1.049525,0.888812,auto_accept,你先走，我等号。😡
202,src_19,3.72,6.80,3.20,,,0.066296,0.090165,0.328615,0.469319,auto_accept,鱼蚣。😊
203,src_19,7.04,10.46,3.54,,,0.071386,0.040764,0.139657,0.055095,review,啊啊完蛋了，他又使用死亡方管了呃。😊
204,src_19,10.58,14.64,4.18,,,0.191699,0.139164,0.981336,0.880182,auto_accept,我有办法，我反方向旋转，拧断他的头就好了。😡
205,src_19,14.94,16.30,1.48,,,0.009610,-0.005252,-0.273605,-0.330746,review,啊呜。
206,src_19,16.82,17.78,1.08,,,-0.033542,-0.028472,-0.524873,-0.525451,review,🎼不娘。
207,src_20,0.04,0.92,0.98,,,0.075388,0.034593,0.128058,0.003348,review,不不不不不不。
208,src_20,1.86,3.64,1.90,,,0.157911,0.121795,0.788002,0.734543,auto_accept,我给你套个小可爱。😡
209,src_20,5.88,7.22,1.46,,,-0.026738,-0.004720,-0.401022,-0.326287,review,嘻嘻。
210,src_20,8.74,18.58,9.96,,,0.147508,0.041107,0.412608,0.057971,review,🎼霸霸王龙诶，不会是恐龙最后一日纪录片里的霸王龙爸爸吧。是啊啊。😊
211,src_20,19.56,21.30,1.86,,,0.071478,0.042702,0.148112,0.071348,review,啊。
212,src_20,21.66,26.48,4.94,,,0.047335,0.080881,0.222062,0.391472,auto_accept,放开来了哇，哎呀爸嗯。😊
213,src_20,26.62,27.46,0.93,,,-0.010340,0.052850,-0.101173,0.156436,review,哎呦，我的妈。
214,src_21,0.42,1.66,1.36,,,-0.130281,-0.161986,-1.429678,-1.644967,auto_reject,长下我做的含笑。😡
215,src_21,2.92,10.16,7.36,,,0.013558,0.071232,0.061136,0.310569,auto_accept,😀。😊
216,src_21,10.28,16.46,6.27,,,0.038244,0.105348,0.292216,0.596630,auto_accept,😭。😊
217,src_22,0.06,2.36,2.42,,,-0.015267,0.002544,-0.329653,-0.265381,review,看这样就会没命的。😡
218,src_22,2.56,3.42,0.98,,,0.039389,0.029468,-0.021824,-0.039619,review,在。
219,src_22,3.54,4.50,1.08,,,0.001453,-0.002021,-0.289157,-0.303660,review,是。
220,src_22,7.12,9.12,2.12,,,0.098359,0.162222,0.745078,1.073517,auto_accept,小区，你在哪？😡
221,src_22,10.36,12.26,2.02,,,-0.032946,-0.009069,-0.441398,-0.362753,review,喂，你的墨镜挺不错的嘛。😡
222,src_22,13.10,20.00,7.00,,,0.073776,0.070036,0.270907,0.300542,auto_accept,🎼这位平头的哥哥真喜欢他一样就会没命的。😊
223,src_23,0.04,2.88,2.94,,,0.048576,0.012314,-0.060977,-0.183459,review,不姐姐姐。
224,src_23,5.18,9.24,4.18,,,0.049376,-0.016120,-0.177332,-0.421878,review,小七，这次干紧往哪儿逃。😡
225,src_23,9.50,16.60,7.22,,,0.086189,0.030223,0.148264,-0.033291,review,🎼就侠手。😊
226,src_23,20.02,21.04,1.14,,,0.029848,0.008137,-0.145288,-0.218483,review,嗖一下飞过去了。😡
227,src_23,23.12,30.70,7.70,,,0.075266,0.031060,0.112813,-0.026276,review,接就姐熊熊熊。😊
228,src_23,33.72,34.54,0.94,,,-0.066303,0.047848,-0.321754,0.114490,review,啊。
229,src_23,36.70,39.72,3.14,,,0.182032,0.150151,0.992915,0.972301,auto_accept,小，没事没事，我先走了。咿呀。😡
230,src_23,41.06,45.76,4.82,,,0.076360,0.031052,0.116681,-0.026342,review,🎼，你想跑，受死吧，你好。😡
231,src_23,46.34,48.70,2.48,,,0.120159,0.112960,0.616304,0.660462,auto_accept,嗯，啊。
232,src_23,54.24,55.90,1.78,,,0.179833,0.096802,0.761408,0.524976,auto_accept,他的受洗了耶。😮
233,src_24,0.04,4.06,4.12,,,0.129381,0.147764,0.795115,0.952292,auto_accept,我玩了两劫，这次轮到我的规则了吧，那你说。😡
